Authors,Title,Discipline,Source title
De la Luz N.A.,Naming as a Human Linguistic Act in Parmenides,,"Emerita, Revista de linguistica y filologia clasica"
Pegenaute L.,THE PHILOSOPHY OF TRANSLATION AND THE TRANSLATION OF PHILOSOPHY: ABOUT A RECENT PUBLICATION [LA FILOSOFIA DE LA TRADUCCIÓ I LA TRADUCCIÓ DE LA FILOSOFIA: A PROPÒSIT D’UNA PUBLICACIÓ RECENT] [LA FILOSOFÍA DE LA TRADUCCIÓN Y LA TRADUCCIÓN DE LA FILOSOFÍA: A PROPÓSITO DE UNA PUBLICACIÓN RECIENTE],,Transfer (Spain)
Indovina F.,Citizenship and new urban realities,,"City, Territory and Architecture"
Hatab W.A.,Prophet Muhammad's Linguistic Etiquette*,,Jordan Journal of Modern Languages and Literatures
"Abu-Elrob R., Tawalbeh A.",The Pivotal Role of Small Talk in Distance Teaching During Covid 19 Curfew Period,,Jordan Journal of Modern Languages and Literatures
"Pourdana N., Tavassoli K.",Differential impacts of e-portfolio assessment on language learners’ engagement modes and genre-based writing improvement,,Language Testing in Asia
"Seržant I.A., Moroz G.",Universal attractors in language evolution provide evidence for the kinds of efficiency pressures involved,,Humanities and Social Sciences Communications
Zechner D.,"A Philology of Survival: Adorno, Benjamin, Hamacher",,Philosophy Today
"Hosseini S., Zandvakili A.",Information dissemination modeling based on rumor propagation in online social networks with fuzzy logic,,Social Network Analysis and Mining
"Mylonas D., Caparos S., Davidoff J.",Augmenting a colour lexicon,,Humanities and Social Sciences Communications
"Almossa S.Y., Alzahrani S.M.",Assessment practices in Saudi higher education during the COVID-19 pandemic,,Humanities and Social Sciences Communications
Lenihan E.,A classification of Antifa Twitter accounts based on social network mapping and linguistic analysis,,Social Network Analysis and Mining
Nejadmohammad V.,A Reading of the myth of Icarus and its structural use in the novel Onitsha written by Jean-Marie Gustave Le Clézio based on view points of Claude Lévi-Strauss,,Research in Contemporary World Literature/ Pazhuhesh-e Zabanha-ye Khareji
"Wang D., Wang S., Zinszer B., Sheng L., Jasińska K.",Cross-linguistic influences of L1 on L2 morphosyntactic processing: An fNIRS study,,Journal of Neurolinguistics
Karimi H.,Greater entropy leads to more explicit referential forms during language production,,Cognition
"Chapin K., Clarke N., Garrard P., Hinzen W.",A finer-grained linguistic profile of Alzheimer's disease and Mild Cognitive Impairment,,Journal of Neurolinguistics
"Aristia J., Fasquel A., Ott L., Brunellière A.",Understanding same subject-verb agreement differently: ERP evidence for flexibility in processing representations involved in French subject-verb agreement,,Journal of Neurolinguistics
"Verkhodanova V., Coler M., Jonkers R., Timmermans S., Maurits N., de Jong B., Lowie W.",A cross-linguistic perspective to classification of healthiness of speech in Parkinson's disease,,Journal of Neurolinguistics
Kalda A.,"Translating perception metaphors: Linguistic, cultural, and social implications [Percepcinių metaforų vertimas: kalbiniai, kultūriniai ir socialiniai aspektai]",,Taikomoji Kalbotyra
"Lin Y., Chen M.",“The more important findings are sustained”: A diachronic perspective on the genre of the retraction notice,,English for Specific Purposes
"Zhao C.G., Wu J.",Perceptions of authorial voice: Why discrepancies exist,,Assessing Writing
"Soruç A., Pawlak M., Yuksel D., Horzum B.",Investigating the impact of linguistic and non-linguistic factors on EMI academic success,,System
"Huettig F., Audring J., Jackendoff R.",A parallel architecture perspective on pre-activation and prediction in language processing,,Cognition
"Liu C., Yu S.",Reconceptualizing the impact of feedback in second language writing: A multidimensional perspective,,Assessing Writing
"Norambuena Y.S., Sáez K.L., Fuentes D., Ponce F.P., Salas G.","Language, analogical reasoning, and working memory skills in emergent literacy period: Typical and DLD trajectories via Cluster Analyses",,Early Childhood Research Quarterly
"Bachinger M., Kofler I., Pechlaner H.",Entrepreneurial ecosystems in tourism: An analysis of characteristics from a systems perspective,,European Journal of Tourism Research
"Tal S., Arnon I.",Redundancy can benefit learning: Evidence from word order and case marking,,Cognition
"Liu C., Hoa Chung K.K.","Effects of fathers’ and mothers’ expectations and home literacy involvement on their children's cognitive–linguistic skills, vocabulary, and word reading",,Early Childhood Research Quarterly
"Kormazina O.P., Ruban D.A., Yashalova N.N.",Hotel Naming in Russian Cities: An Imprint of Foreign Cultures and Languages between Europe and Asia,,Societies
"Tseng M.-L., Ardaniah V., Negash Y.T., Lin C.-W.",Building a hierarchical sustainable development transition model in qualitative information approach: Electric utility industry in Indonesia,,Cleaner and Responsible Consumption
"Wharton T., Jagoe C., Wilson D.","Relevance theory: New horizons Foreword by Tim Wharton, Caroline Jagoe and Deirdre Wilson",,Journal of Pragmatics
Quinn P.M.,Telecosteño: Constructing a linguistic imaginary in popular Colombian soap operas,,"Discourse, Context and Media"
"Liu L., Lai R., Singh L., Kalashnikova M., Wong P.C.M., Kasisopa B., Chen A., Onsuwan C., Burnham D.",The tone atlas of perceptual discriminability and perceptual distance: Four tone languages and five language groups,,Brain and Language
"Dunagan D., Zhang S., Li J., Bhattasali S., Pallier C., Whitman J., Yang Y., Hale J.",Neural correlates of semantic number: A cross-linguistic investigation,,Brain and Language
"Coppola C., Iannaccone A., Mollo M., Pacelli T.",Handling a language to think together in the classroom: The case of the notion of equivalence,,Journal of Mathematical Behavior
"Lorenzoni A., Pagliarini E., Vespignani F., Navarrete E.",Pragmatic and knowledge range lenience towards foreigners,,Acta Psychologica
"Dinh Toan T., Meng M., Lam S.H., Wong Y.D.",Multistage Fuzzy Logic Controller for Expressway Traffic Control during Incidents,,Journal of Transportation Engineering Part A: Systems
"Spring R., Johnson M.","The possibility of improving automated calculation of measures of lexical richness for EFL writing: A comparison of the LCA, NLTK and SpaCy tools",,System
"Jaekel N., Schurig M., van Ackern I., Ritter M.",The impact of early foreign language learning on language proficiency development from middle to high school,,System
Parker D.,Ellipsis interference revisited: New evidence for feature markedness effects in retrieval,,Journal of Memory and Language
"Mendes M., Martins M.",(Mis)Guided interpersonal deictic choices in primary school writing under language assessment,,Linguistics and Education
"Kabylova A., Aidana R.",Interference of Cultures: Turkic and Slavic Languages (Lexical Level of Kazakh and Russian),,Studies in Media and Communication
Sobkowiak P.,Translanguaging practices in the EFL classroom - the Polish context,,Linguistics and Education
Kim K.M.,Situating emotionality within socialization in study abroad contexts: The Student's perspective,,System
"Loewen S., Buttiler M., Kessler M., Trego D.",Conversation and transcription activities with synchronous video computer-mediated communication: A classroom investigation,,System
Zhu X.,Proximal language predicts crowdfunding success: Behavioral and experimental evidence,,Computers in Human Behavior
"Geok E.-T., Lee K.Y.C., Sündermann O.",An experimental investigation of intolerance of uncertainty and its impact on sub-clinical psychopathology,,Journal of Behavior Therapy and Experimental Psychiatry
"Li S., Wang Y., Filieri R., Zhu Y.",Eliciting positive emotion through strategic responses to COVID-19 crisis: Evidence from the tourism sector,,Tourism Management
Grasso A.,Populist dialogues on Twitter to #PutAustraliaFirst,,Journal of Pragmatics
"Mensah E., Alexander J., Ayeni Q.",The ethnopragmatic functions of Owe and Tiv personal names in Nigeria,,Language Sciences
"Dombi J., Sydorenko T., Timpe-Laughlin V.","Common ground, cooperation, and recipient design in human-computer interactions",,Journal of Pragmatics
"Ríssola E.A., Aliannejadi M., Crestani F.",Mental disorders on online social media through the lens of language and behaviour: Analysis and visualisation,,Information Processing and Management
"Meena K., Lawrance R., Suresh S., Ahmad Khder M.",Evaluation of descriptive type answer using transformed weight and Cosine-SVM,,Journal of Statistics Applications and Probability
"Van Oost P., Yzerbyt V., Schmitz M., Vansteenkiste M., Luminet O., Morbée S., Van den Bergh O., Waterschoot J., Klein O.","The relation between conspiracism, government trust, and COVID-19 vaccination intentions: The key role of motivation",,Social Science and Medicine
"González R., Rojas M., Rosselli M., Ardila A.",Linguistic profiles of variants of primary progressive aphasia,,Journal of Communication Disorders
"Deopa N., Fortunato P.",Language and the cultural markers of COVID-19,,Social Science and Medicine
"Frei-Landau R., Orland-Barak L., Muchnick-Rozonov Y.",What's in it for the observer? Mimetic aspects of learning through observation in simulation-based learning in teacher education,,Teaching and Teacher Education
"Agathangelou P., Katakis I.",Balancing between holistic and cumulative sentiment classification,,Online Social Networks and Media
"Park K.H., Song H.M., Yoo J.D., Hong S.-Y., Cho B., Kim K., Kim H.K.",Unsupervised malicious domain detection with less labeling effort,,Computers and Security
"Parisius K.G.H., Wartewig E., Schoonmade L.J., Aarab G., Gobbens R., Lobbezoo F.",Oral frailty dissected and conceptualized: A scoping review,,Archives of Gerontology and Geriatrics
"Horvath S.-M., Muhr M.M., Kirchner M., Toth W., Germann V., Hundscheid L., Vacik H., Scherz M., Kreiner H., Fehr F., Borgwardt F., Gühnemann A., Becsi B., Schneeberger A., Gratzer G.",Handling a complex agenda: A review and assessment of methods to analyse SDG entity interactions,,Environmental Science and Policy
"Contini-Morava E., Danziger E.",Challenging ‘definite article’ as a comparative concept: The case of Mopan Maya,,Language Sciences
"Laitin D.D., Ramachandran R.","Linguistic diversity, official language choice and human capital",,Journal of Development Economics
"Murphy E., Hoshi K., Benítez-Burraco A.",Subcortical syntax: Reconsidering the neural dynamics of language,,Journal of Neurolinguistics
"Sara M., Daniela C., Sonia D.T., Savina R., Silveri M.C.",Linguistic characteristics of different types of aphasia: A computer-assisted qualitative analysis using T-LAB,,Journal of Neurolinguistics
"Villata S., Tabor W.",A self-organized sentence processing theory of gradience: The case of islands,,Cognition
"Chabal S., Hayakawa S., Marian V.",Language is activated by visual input regardless of memory demands or capacity,,Cognition
"de Bruin A., Martin C.D.",Perro or txakur? Bilingual language choice during production is influenced by personal preferences and external primes,,Cognition
"Aygün O., Rämä P.",Brain signatures of native and non-native words in French-learning 24-month-olds: The effect of vocabulary skills,,Journal of Neurolinguistics
"Chiappetta B., Patel A.D., Thompson C.K.",Musical and linguistic syntactic processing in agrammatic aphasia: An ERP study,,Journal of Neurolinguistics
"Cui H., Jeong H., Okamoto K., Takahashi D., Kawashima R., Sugiura M.",Neural correlates of Japanese honorific agreement processing mediated by socio-pragmatic factors: An fMRI study,,Journal of Neurolinguistics
"Hasanain M., Elsayed T.",Studying effectiveness of Web search for fact checking,,Journal of the Association for Information Science and Technology
"Liu Y., Ryskin R., Futrell R., Gibson E.",A verb-frame frequency account of constraints on long-distance dependencies in English,,Cognition
"Rania N., Pinna L., Coppola I.",Parenting in migration: Critical aspects and challenges of “doing family” of refugee families and social workers,,Journal of Social Work
"Lai K., Li X.",Tourism in a Semantic Mirror: Retheorizing Tourism from the Linguistic Turn,,Journal of Travel Research
"Schoenmakers G.-J., Poortvliet M., Schaeffer J.",Topicality and anaphoricity in Dutch scrambling,,Natural Language and Linguistic Theory
"Feder L., Abu-Rabia S.",Cognitive Retroactive Transfer of Language Skills From English as a Foreign Language to Hebrew as the First Language,,Journal of Learning Disabilities
Storme B.,Implicational generalizations in morphological syncretism: The role of communicative biases,,Journal of Linguistics
"Sprouse J.O.N., Messick T., Bobaljik J.D.",Gender asymmetries in ellipsis: An experimental comparison of markedness and frequency accounts in English,,Journal of Linguistics
Hansson S.O.,Can Uncertainty Be Quantified?,,Perspectives on Science
"Huang R.L., Fletcher P., Zhang Z., Liang W., Marchman V., Tardif T.",Early grammatical marking development in Mandarin-speaking toddlers,,Developmental psychology
Lee C.,The structuralist approach to underdetermination,,Synthese
"Wen J., Lei L.",Linguistic positivity bias in academic writing: A large-scale diachronic study in life sciences across 50 years,,Applied Linguistics
Tang C.,'Amber Alert' or 'Heatwave Warning': The Role of Linguistic Framing in Mediating Understandings of Early Warning Messages about Heatwaves and Cold Spells,,Applied Linguistics
Hanks E.,A cross-linguistic comparison of the propositional content of laughter in American English and Central Thai,,Intercultural Pragmatics
"García-Izquierdo I., Montalt V.",Cultural Competence and the Role of the Patient’s Mother Tongue: An Exploratory Study of Health Professionals’ Perceptions,,Societies
"Koolnaphadol P., Inang P., Dudsdeemaytha J.",Online Career Intelligence Test: Self-Assessment for Students’ Career and Abilities,,International Journal of Instruction
Krammer L.,"Forms, functions and use of language variation University Lecturers' Attitudes towards Language Variation when Teaching at Viennese Universities and Children's Universities [Formen, Verwendungen und Funktionen von Sprachvariation Einstellungen von Lehrenden an Wiener Universitaten und Kinderuniversitaten]",,Zeitschrift fur Angewandte Linguistik
"Jung S., Janssen R.J., Klein E.",Laterality in simple multiplication: Assessing hemispheric specialization of arithmetic fact retrieval in a visual hemifield paradigm,,Journal of experimental psychology. Human perception and performance
Walter A.,Latin Literature,,Greece and Rome
"Pietrandrea P., Battaglia E.",“Migrants and the EU”. The diachronic construction of ad hoc categories in French far-right discourse,,Journal of Pragmatics
"Humayun M.A., Yassin H., Abas P.E.","Native language identification for Indian-speakers by an ensemble of phoneme-specific, and text-independent convolutions",,Speech Communication
Viebahn E.,"Lying, Misleading, and Fairness",,Ethics
"van der Elst-Koeiman M., Segers E., Severing R., Verhoeven L.",Learning to read in mother tongue or foreign language: Comparing Papiamento-Dutch reading skills in the post-colonial Dutch Caribbean,,Learning and Individual Differences
Salmon W.,Social markers and dimensions of meaning,,Journal of Pragmatics
"Provazza S., Carretti B., Giofrè D., Adams A.-M., Montesano L., Roberts D.",Shallow or deep? The impact of orthographic depth on visual processing impairments in developmental dyslexia,,Annals of Dyslexia
Kirginas S.,Improving Students’ Narrative Skills through Gameplay Activities: A Study of Primary School Students,,Contemporary Educational Technology
Oittinen T.,Multimodal and collaborative practices in the organization of word searches in lingua franca military meetings,,Journal of Pragmatics
"Wang Y.-F., Lin M.-F., Treanor D., Tsai I.-N.",Disagreements in casual Taiwanese Mandarin conversations: A gender-based study,,Journal of Pragmatics
"Tan X., Zhu J., Wu T.",Dynamic Reference Point-Oriented Consensus Mechanism in Linguistic Distribution Group Decision Making Restricted by Quantum Integration of Information,,Group Decision and Negotiation
"Fuoli M., Bednarek M.",Emotional labor in webcare and beyond: A linguistic framework and case study,,Journal of Pragmatics
Kanoksilapatham B.,Digital Technology in English Education: Linguistic Gain and Pain Points,,International Journal of Information and Education Technology
Zappavigna M.,Social media quotation practices and ambient affiliation: Weaponising ironic quotation for humorous ridicule in political discourse,,Journal of Pragmatics
Assimakopoulos S.,Ostension and the communicative function of natural language,,Journal of Pragmatics
"Di Dona G., Mantione F., Alber B., Sulpizio S., Vespignani F.",Allophonic familiarity differentiates word representations in the brain of native speakers of regional linguistic varieties,,Brain and Language
Vinagre M.,Engaging with difference: Integrating the linguistic landscape in virtual exchange,,System
"Pawlak M., Csizér K.","The impact of self-regulatory strategy use on self-efficacy beliefs and motivated learning behavior in study abroad contexts: The case of university students in Italy, Poland and Turkey",,System
"Stankovic M., Biedermann B., Hamamura T.",Not all bilinguals are the same: A meta-analysis of the moral foreign language effect,,Brain and Language
"Abdi Tabari M., Wang Y.",Assessing linguistic complexity features in L2 writing: Understanding effects of topic familiarity and strategic planning within the realm of task readiness,,Assessing Writing
"Garcia-Ponce E.E., Tavakoli P.",Effects of task type and language proficiency on dialogic performance and task engagement,,System
De Cat C.,Opportunities and challenges in the analysis of the Multilingual Assessment Instrument for Narratives (MAIN),,First Language
"Alger M., Eyckmans J.",“I took physical lessons for granted”: A case study exploring students’ interpersonal interactions in online synchronous lessons during the outbreak of COVID-19,,System
"Doiz A., Lasagabaster D.",Looking into English-medium instruction teachers’ metadiscourse: An ELF perspective,,System
"Loveys K., Hiko C., Sagar M., Zhang X., Broadbent E.",“I felt her company”: A qualitative study on factors affecting closeness and emotional support seeking with an embodied conversational agent,,International Journal of Human Computer Studies
"Burke Hadley E., Barnes E.M., Wiernik B.M., Raghavan M.",A meta-analysis of teacher language practices in early childhood classrooms,,Early Childhood Research Quarterly
Tasker D.G.,A case study of the variety of writing assignments in an undergraduate English department,,English for Specific Purposes
Shintaku K.,Self-directed learning with anime: A case of Japanese language and culture,,Foreign Language Annals
Monto C.,Bringing the state seal of biliteracy to higher education: A case for expansion,,Foreign Language Annals
"Fourlas G.N., Cuffari E.C.","Enacting Ought: Ethics, Anti-Racism, and Interactional Possibilities",,Topoi
"Adhikari S., Thapa S., Naseem U., Singh P., Huo H., Bharathy G., Prasad M.",Exploiting linguistic information from Nepali transcripts for early detection of Alzheimer's disease using natural language processing and machine learning techniques,,International Journal of Human Computer Studies
"Johns B.T., Jones M.N.",Content matters: Measures of contextual diversity must consider semantic content,,Journal of Memory and Language
"Özge D., Kornfilt J., Maquate K., Küntay A.C., Snedeker J.",German-speaking children use sentence-initial case marking for predictive language processing at age four,,Cognition
"Lester N.A., Moran S., Küntay A.C., Allen S.E.M., Pfeiler B., Stoll S.",Detecting structured repetition in child-surrounding speech: Evidence from maximally diverse languages,,Cognition
"Gurzynski-Weiss L., Coulter-Kern M., Kuntz T.",Engagement and emerging elementary-level L2 Spanish: Detailing the status quo and identifying opportunities,,Foreign Language Annals
"Vaughn M., Parsons S.A., Gallagher M.A.",Challenging Scripted Curricula With Adaptive Teaching,,Educational Researcher
Pepp J.,Towards a sensible bifurcationism (concerning what grounds thought about particulars),,Theoria (Sweden)
García-Amaya L.,Exploring the connection between language use and oral performance during study abroad: Results from the Daily Language Questionnaire 2,,Foreign Language Annals
Dahmen J.,"Bilingual speech in Jaru–Kriol conversations: Codeswitching, codemixing, and grammatical fusion",,International Journal of Bilingualism
"Horgan D., Martin S., O’Riordan J., Maier R.",Supporting languages: The socio-educational integration of migrant and refugee children and young people,,Children and Society
"Konopasky A., O'Brien B.C., Artino A.R., Jr., Driessen E.W., Watling C.J., Maggio L.A.","I, we and they: A linguistic and narrative exploration of the authorship process",,Medical Education
"Rutt A.A., Mumba F.",Pre-service teachers enactment of language- and literacy-integrated science instruction in linguistically diverse science classrooms,,Journal of Research in Science Teaching
"Wu P., Liu J., Zhou L., Chen H.",An Integrated Group Decision-Making Method with Hesitant Qualitative Information Based on DEA Cross-Efficiency and Priority Aggregation for Evaluating Factors Affecting a Resilient City,,Group Decision and Negotiation
"Pinzin F., Poletto C.","Indefinite Objects in Micro-variation. A Cross-linguistic Analysis of the Distribution of Partitives Articles, Bare Nominals and Definite Determiners in Northern Italy*",,Studia Linguistica
"Galli C., Colangelo M.T., Guizzardi S.",Linguistic changes in the transition from summaries to abstracts: The case of the Journal of Experimental Medicine,,Learned Publishing
Adams J.P.,High Fidelity: Pedagogy and Postatomic Japanese Chronicle,,Cultural Studies - Critical Methodologies
"Trawick S., Bero T.",Gender assignment: Monolingual constraints contribute to a bilingual outcome,,International Journal of Bilingualism
"Mridha M.F., Ohi A.Q., Hamid M.A., Monowar M.M.",A study on the challenges and opportunities of speech recognition for Bengali language,,Artificial Intelligence Review
Shin J.-Y.,Investigating and optimizing score dependability of a local ITA speaking test across language groups: A generalizability theory approach,,Language Testing
Sinokki J.,"“What on Earth Is Smenkhkare?” WH-Questions, Truth-Makers, and Causal-Informational Account of Reference",,Theoria (Sweden)
"Piccardi D., Nodari R., Calamai S.",Linguistic insecurity and discrimination among Italian school students,,Lingua
"Shahi T.B., Sitaula C.",Natural language processing for Nepali text: a review,,Artificial Intelligence Review
"Chau R.F., Sawyer W.N., Greenberg J., Mehl M.R., Sbarra D.A.",Emotional recovery following divorce: Will the real self-compassion please stand up?,,Journal of Social and Personal Relationships
"Deygers B., Vanbuel M.",Gauging the impact of literacy and educational background on receptive vocabulary test scores,,Language Testing
"Morales-Gálvez S., Cetrà D.",Regulating language: Territoriality and personality in plurinational Spain,,Ethnicities
"Kirk S., Grinstead J., Nibert H.J.","Anxiety, lexicon, and morphosyntax in instructed L2 Spanish",,Foreign Language Annals
"Dovchin S., Dryden S.",Translingual Discrimination: Skilled Transnational Migrants in the Labour Market of Australia,,Applied Linguistics
Weir R.S.,Christian physicalism and the biblical argument for dualism,,International Journal for Philosophy of Religion
"Boichak O., Kumar P.","Mapping the national web: Spaces, cultures and borders of diasporic mobilization in the digital age",,Global Networks
"Cohen B.J., Rønning W.","Valuing the whole community: Children, schools and language",,Children and Society
Ikeda S.,Approach-avoidance responses and categorical perception of ambiguous facial expressions,,International Journal of Psychology
Knaifel E.,Immigrant Caregivers: The Double Burden Experience of Immigrants Caring for a Family Member With Severe Mental Illness,,Community Mental Health Journal
"King K.M., Dixon K.V., González-Carriedo R., Dixon-Krauss L.",Transformation and Cross-Cultural Adaptation of Teacher Candidates in an International Student Teaching Program,,Journal of Transformative Education
"Bonefeld M., Beißert H.",Opportunities and limitations of using the linguistic category model as a measure of teachers’ implicit stereotypes in Germany,,Learning and Instruction
"Schlenker P., Lamberton J.",Meaningful Blurs: the sources of repetition-based plurals in ASL,,Linguistics and Philosophy
Smith-Christmas C.,Using a ‘Family Language Policy’ lens to explore the dynamic and relational nature of child agency,,Children and Society
"Buccola B., Križ M., Chemla E.",Conceptual alternatives: Competition in language and beyond,,Linguistics and Philosophy
"Li J., Ai B., Xu C.L.",Examining Burmese students’ multilingual practices and identity positionings at a border high school in China,,Ethnicities
"Pessoa S., Mitchell T.D., Gomez-Laich M.P., Maune M., Le Roux C.",Scaffolding the Case Analysis in an Organizational Behavior Course: Making Analytical Language Explicit,,Journal of Management Education
"Okafor L.E., Khalid U., Burzynska K.",The Effect of Migration on International Tourism Flows: The Role of Linguistic Networks and Common Languages,,Journal of Travel Research
"Kyereko D.O., Faas D.","Children, language and access to schools in the global South: The case of migrants in Ghana",,Children and Society
"Leisser D., Bray K., Hernández A., Nasr D.",Exploring the Discursive Construction of Obedience: An Analysis of Application Letters for the Position of Executioner in Hitler’s Germany,,International Journal for the Semiotics of Law
Piszko R.,Legitimization and Validity of Directives on Legal Interpretation on the Example of the Rule of Law Crisis in Poland,,International Journal for the Semiotics of Law
Zeifert M.,Rethinking Hart: From Open Texture to Prototype Theory—Analytic Philosophy Meets Cognitive Linguistics,,International Journal for the Semiotics of Law
Belkind O.,Conventionalism in Early Analytic Philosophy and the Principle of Relativity,,Erkenntnis
"Almor T., Bazel-Shoham O., Lee S.M.",The dual effect of board gender diversity on R&D investments,,Long Range Planning
"Xia L., Bak T.H., Sorace A., Vega-Mendoza M.",Interference suppression in bilingualism: Stimulus-Stimulus vs. Stimulus-Response conflict,,Bilingualism
Smith M.D.,Rejecting instrumental-deterministic CALL: Towards a critical reading of power in online English education,,Power and Education
"Zhu H., Lei L.",A dependency-based machine learning approach to the identification of research topics: a case in COVID-19 studies,,Library Hi Tech
"Smith A.D., Rama T.",Environmental factors affect the evolution of linguistic subgroups in Borneo,,Diachronica
Qassem M.,"Lexical, exegetical, and frequency-based analyses of the translations of the Qur'anic collocations",,Babel
Ko L.,Chinese certificate translation in the Australian context A purpose-oriented practice,,Babel
"Díaz-Cintas J., Juan Z.",Going global against the tide The translation of Chinese audiovisual productions,,Babel
"Salomé F., Casalis S., Commissaire E.",Bilingual advantage in L3 vocabulary acquisition: evidence of a generalized learning benefit among classroom-immersion children,,Bilingualism
"Markov I., Nastase V., Strapparava C.",Exploiting native language interference for native language identification,,Natural Language Engineering
"Labib M.A., Zemni B., Chaouch Z.","Challenges of translating sententious sayings in literary Arabic, Saudi and Egyptian dialects into French [Défis de la traduction vers le français d’énoncés sentencieux en arabe littéraire, saoudien et égyptien]",,Kervan
"Zemni B., Bensebia A.A., Beji J., Zitouni M.",Cultural referents in Saudi and Algerian paremic statements [Référents culturels dans les énoncés parémiques saoudiens et algériens],,Kervan
"Beji J., Zemni B.",Cultural meanings and translation of Saudi and Tunisian proverbs: Mechanisms and function [Sèmes culturels et traduction de proverbes saoudiens et tunisiens: mécanismes et fonctionnement],,Kervan
"Melchor J.L., Blázquez-Carreter M.",Zamboanga Chavacano from español de cocina to un poquito español. A postcolonial inquiry into creole language preservation,,Journal of Pidgin and Creole Languages
"Nagle C.L., Trofimovich P., O'Brien M.G., Kennedy S.",BEYOND LINGUISTIC FEATURES,,Studies in Second Language Acquisition
"Luo J., Li D.",Universals in machine translation? A corpus-based study of Chinese-English translations by WeChat Translate,,International Journal of Corpus Linguistics
"Piata A., Soriano C.",The affect bias in the metaphorical representation of anticipated events the case of approach,,Metaphor and the Social World
Augé A.,How visual metaphors can contradict verbal occurrences A cross-linguistic and multimodal analysis of the IMPRINT of climate change,,Metaphor and the Social World
"Barachetti C., Majorano M., Rossi G., Antolini E., Zerbato R., Lavelli M.",Vocabulary production in toddlers from low-income immigrant families: Evidence from children exposed to Romanian-Italian and Nigerian English-Italian,,Journal of Child Language
