Authors,Title,Discipline,Source title
Dixon R.,"Infanticide: Expert Evidence and Testimony in Child Murder Cases, 1688-1955",,"Infanticide: Expert Evidence and Testimony in Child Murder Cases, 1688-1955"
Pegenaute L.,THE PHILOSOPHY OF TRANSLATION AND THE TRANSLATION OF PHILOSOPHY: ABOUT A RECENT PUBLICATION [LA FILOSOFIA DE LA TRADUCCIÓ I LA TRADUCCIÓ DE LA FILOSOFIA: A PROPÒSIT D’UNA PUBLICACIÓ RECENT] [LA FILOSOFÍA DE LA TRADUCCIÓN Y LA TRADUCCIÓN DE LA FILOSOFÍA: A PROPÓSITO DE UNA PUBLICACIÓN RECIENTE],,Transfer (Spain)
Olărescu D.,The docudrama of a destiny: Bogdan Petriceicu Hasdeu [DOCUDRAMA UNUI DESTIN: BOGDAN PETRICEICU HAȘDEU],,Revista Arta
Ben-Or I.,Women’s work on small change: privately issued currency by women in mid-17th century London,,Humanities and Social Sciences Communications
Adewumi A.,Built heritage and planning laws in Africa: the Nigerian Experience,,Built Heritage
"Braun B., Demling J., Loew T.H.","Alzheimer’s disease: history, ethics and medical humanities in the context of assisted suicide",,"Philosophy, Ethics, and Humanities in Medicine"
McNamara C.J.,Fourth-Century Fakes,,Classical World
Brooks J.,Re-Reading Two Classics of Russian Cultural History,,Kritika
"Ranjgar B., Sadeghi-Niaraki A., Shakeri M., Choi S.-M.",An ontological data model for points of interest (POI) in a cultural heritage site,,Heritage Science
Hwang J.,"Tituba, “Dark Eve” in the Origins of the American Myth: The Subject of History and Writing about Salem",,CLCWeb - Comparative Literature and Culture
Hatem M.Q.,Skin lesion classification system using a K-nearest neighbor algorithm,,"Visual Computing for Industry, Biomedicine, and Art"
Mogen P.P.,The Scottish-Chesapeake Tobacco Trade and the Economics of Book Importation,,Early American Studies
Takayama E.Y.,The History of Aesthetic Surgery in Early Twentieth-Century Japan,,Journal of Japanese Studies
Kovacs P.,"I Love Lucy, Single Sponsorship, and Marketing Communication",,Journal of Cinema and Media Studies
"Mai B., Liu N., Liu J.J., Liu D., Li J., Wang J., Chen A., Cao J., Li Y.","Analysis and appraisal of fascine in Shahe ancient bridge ruins, Xi’an, Shaanxi, China",,Heritage Science
Mubirumusoke M.,Prolegomena to any Future Cosmology,,Philosophy Today
Ang J.M.S.,Living Existentially,,Philosophy Today
Baehren L.,Saying “goodbye” to the conundrum of leave-taking: a cross-disciplinary review,,Humanities and Social Sciences Communications
"Pétursson J.Þ., Hafstein V.T.",Stirring Up Skyr: From Live Cultures to Cultural Heritage,,Journal of American Folklore
Houe U.,The Protoplasmic Imagination: Ernst Haeckel and H. P. Lovecraft,,Configurations
Połońska-Kimunguyi E.,Echoes of Empire: racism and historical amnesia in the British media coverage of migration,,Humanities and Social Sciences Communications
Morgan D.,The history of animals: A philosophy by oxana timofeeva (review),,Cultural Critique
Broad J.,From Nobility and Excellence to Generosity and Rights: Sophia's Defenses of Women (1739-40),,Hypatia
Duller M.,Regime and Sociology: A Comparative History of Sociology in Postwar Europe with Qualitative Comparative Analysis,,Social Science History
Gugelot F.,"The priest, the writer and history [Le prêtre, l'écrivain et l'histoire] [El sacerdote, el escritor y la historia]",,Archives de Sciences Sociales des Religions
"Seligson D., McCants A.E.C.","Polygamy, the Commodification of Women, and Underdevelopment",,Social Science History
"Zafaranchi S., Ghandeharion A., Behdad A.",Reflects Iranian Identity in Contemporary Tajik Poetry,,Research in Contemporary World Literature/ Pazhuhesh-e Zabanha-ye Khareji
"Beyad M.S., Elmie B.",What Is Literature? A Wittgensteinian Reading of the Language Game of Literature and its Manifestation in Trout Fishing in America,,Research in Contemporary World Literature/ Pazhuhesh-e Zabanha-ye Khareji
Rasmussen S.,"Social Memory, Iconicity, and Gendered Spaces in Tuareg Sedentarization and Urbanization [Takatawt tan temoust, tangalt, tcheddoden enten medden Touaregs, enten aghiwen n aghram] [La memoire sociale, les symboles, le genre et des rapports entre les femmes et les hommes chez les Touaregs (Kel Tamajaq) en milieu de la sedentarisation et en ville] [Memória Social, Iconicidade, e Espaços de Género na Sedentarização e Urbanização Tuaregue]",,Anthropological Quarterly
"Viteri S., DeDeo S.",Epistemic phase transitions in mathematical proofs,,Cognition
Danielsson A.,"Producing the military urban(s): Interoperability, space-making, and epistemic distinctions between military services in urban operations",,Political Geography
Nowak Z.,"The railway panopticon: State formation, carceral power, and everyday policing in the late-nineteenth-century train station",,Political Geography
"Liang Y., Meng F., Zhang Y., Chen Y., Xu J., Zhou J.",Emotional conversation generation with heterogeneous graph neural network,,Artificial Intelligence
Simons M.,Jean-François Lyotard and Postmodern Technoscience,,Philosophy and Technology
"Bintliff J., Degryse P.",A review of soil geochemistry in archaeology,,Journal of Archaeological Science: Reports
"Pollard A.M., Liu R.",Chemical Studies of Ming and Qing (1368–1911 CE) coinage and the later history of brass in China,,Journal of Archaeological Science
"Scherer A.K., Golden C., Houston S., Matsumoto M.E., Alcover Firpi O.A., Schroder W., Recinos A.R., Álvarez S.J., Urquizú M., Pérez Robles G., Schnell J.T., Hruby Z.X.",Chronology and the evidence for war in the ancient Maya kingdom of Piedras Negras,,Journal of Anthropological Archaeology
Slavov M.,Kaila's interpretation of Einstein-Minkowski invariance theory,,Studies in History and Philosophy of Science
van den Berg H.,Animal languages in eighteenth-century German philosophy and science,,Studies in History and Philosophy of Science
Tomczyk H.,Did Einstein predict Bose-Einstein condensation?,,Studies in History and Philosophy of Science
Radick G.,Mendel the fraud? A social history of truth in genetics,,Studies in History and Philosophy of Science
"Seong C., Kim J.",Moving in and moving out: Explaining final Pleistocene-Early Holocene hunter-gatherer population dynamics on the Korean Peninsula,,Journal of Anthropological Archaeology
"Da Silva A.B., Farias E.",Contributions of an inland carnival to the perspective of post-abolitionist historiographic memory in the 20th and 21st centuries [Contribuições de um carnaval do interior para a perspectiva da memória historiográfica pós-abolicionista nos séculos XX e XXI],,Historia y Memoria
Espinel L.A.N.,What is the socialists' nation? Proposals and dilemmas of the Liga de Acción Política as a left-wing nationalist project in Colombia [¿Cuál es la nación de los socialistas? Propuestas y dilemas de la Liga de Acción Política como proyecto nacionalista de izquierda en Colombia],,Historia y Memoria
González M.X.,Socialism in its place. The «social organization of the nation and the intersocial origins of the first Mexican socialism towards 1850 [El socialismo en su lugar. La «organización social de la nación y los orígenes intersociales del primer socialismo mexicano hacia 1850],,Historia y Memoria
Palti E.,"Editorial. ""Problems of Latin American political-intellectual history: Democracy, nation, representation. Latin America, 19th and 20th centuries"" [Editorial. «Problemas de historia político-intelectual latinoamericana: Democracia, Nación, Representación. América Latina, siglos XIX y XX]",,Historia y Memoria
Garategaray M.,«The restoring democracydemocracy» History and politics in Uruguay's democratic transition (1980-1989) [«La democracia restauradora» Historia y política en la transición democrática de Uruguay (1980-1989)],,Historia y Memoria
Cucchi L.,Popular juries in Argentina (1868-1874). The problem of democracy as the participation of the people in the government [Los jurados populares en Argentina (1868- 1874). El problema de la democracia como participación del pueblo en el gobierno],,Historia y Memoria
"Popartan L.A., Ungureanu C.",The political ecology of water memory: Contending narratives of past hydraulic infrastructures in Barcelona (2015–2021),,Political Geography
Žíla O.,Managing mass migration after the war: The case of Sarajevo's unification in 1996,,Political Geography
"Guo R., Feng J., Liu R., Xia Y., Fu Q., Xi N., Wang Z.","Rare colour in medieval China: Case study of yellow pigments on tomb mural paintings at Xi'an, the capital of the Chinese Tang dynasty",,Archaeometry
"Suchowska-Ducke P., Stos-Gale Z.A., Pernicka E., Nørgaard H.W., Ducke B.",The bronze cup from Dohnsen in the light of old and new evidence,,Archaeometry
"Gao Y., Salvatore M.C., Xu Q., Yang L., Sun L., Xie Z., Baroni C.","The occupation history of the longest-dwelling Adélie penguin colony reflects Holocene climatic and environmental changes in the Ross Sea, Antarctica",,Quaternary Science Reviews
"Charpentier A., Rodrigues A.S.L., Houmard C., Lefebvre A., McGrath K., Speller C., van der Sluis L., Zazzo A., Pétillon J.-M.","What's in a whale bone? Combining new analytical methods, ecology and history to shed light on ancient human-whale interactions",,Quaternary Science Reviews
"Luke O.R., Aaron L., Jürgen T., Niamh M., O'Connor O.J., John A., Fentimen R., Butschek F., Kimberley H., Torsten V., Wheeler A.J.","Using novel methods to track British and Irish Ice Sheet dynamics since the Late Pleistocene, along the west Porcupine Bank, NE Atlantic",,Quaternary Science Reviews
"Strobel P., Bliedtner M., Carr A.S., Struck J., du Plessis N., Glaser B., Meadows M.E., Quick L.J., Zech M., Zech R., Haberzettl T.",Reconstructing Late Quaternary precipitation and its source on the southern Cape coast of South Africa: A multi-proxy paleoenvironmental record from Vankervelsvlei,,Quaternary Science Reviews
"Branysova T., Demnerova K., Durovic M., Stiborova H.",Microbial biodeterioration of cultural heritage and identification of the active agents over the last two decades,,Journal of Cultural Heritage
Roy T.,Introduction to the symposium on economic history and India,,Economic History Review
"Jennings A., Reilly B., Andrews J., Hogan K., Walczak M., Jakobsson M., Stoner J., Mix A., Nicholls K.W., O'Regan M., Prins M.A., Troelstra S.R.","Modern and early holocene ice shelf sediment facies from Petermann Fjord and northern Nares Strait, northwest Greenland",,Quaternary Science Reviews
"Wang Y., Sun Y., Royle T.C.A., Zhang X., Zheng Y., Tang Z., Clark L.T., Zhao X., Cai D., Yang D.Y.",Ancient DNA investigation of the domestication history of pigs in Northeast China,,Journal of Archaeological Science
"Southerland S.A., Settlage J.",Humanistic science education: Updating our collective consciousness and offering fresh consideration,,Science Education
Conterio J.,"Controlling Land, Controlling People: Urban Greening and the Territorial Turn in Theories of Urban Planning in the Soviet Union, 1931-1932",,Journal of Urban History
"Alcalá S., Baglioni M., Alderson S., Neiman M., Tallio S.C., Giorgi R.",The use of nanostructured fluids for the removal of polymer coatings from a Nuxalk monumental carving – exploring the cleaning mechanism,,Journal of Cultural Heritage
"Ronca A., Kaminski M., Cuenca Grau B., Horrocks I.",The delay and window size problems in rule-based stream reasoning,,Artificial Intelligence
"Novenko E.Y., Rudenko O.V., Mazei N.G., Kupriyanov D.A., Batalova V.A., Volkova E.M., Phelps L.N., Davis B.A.S.","Late-Holocene vegetation and fire history in Western Putorana Plateau (subarctic Siberia, Russia)",,Holocene
"Sydor P., Uścinowicz S.","Holocene relative sea-level changes in the eastern part of Pomeranian Bay and the Szczecin Lagoon, Southern Baltic Sea",,Holocene
"Rodriguez A.F., Mackie K.R., Scott M.H.",Consistent Software-Specific Nonlinear Dynamic Response of Highway Bridges,,Practice Periodical on Structural Design and Construction
"Klopfer L.E., Aikenhead G.S.",Humanistic science education: The history of science and other relevant contexts,,Science Education
Raman A.,Indian cotton textiles and British industrialization: Evidence of comparative learning in the British cotton industry in the eighteenth and nineteenth centuries,,Economic History Review
"Kroupin I.G., Carey S.E.",You cannot find what you are not looking for: Population differences in relational reasoning are sometimes differences in inductive biases alone,,Cognition
Wörsdörfer A.I.,What if? Epidemic discourse and serial narration in the alternate history series La Révolution (2020),,French Cultural Studies
O'Sullivan M.A.,History as heresy: Unlearning the lessons of economic orthodoxy,,Economic History Review
"Venter L., Panebianco C.","High school learners’ perceptions of value as motivation to choose music as an elective in Gauteng, South Africa",,International Journal of Music Education
Tadei F.,Colonizer identity and trade in Africa: Were the British more favourable to free trade?,,Economic History Review
Robichaud A.,"Brighton Fair: The Life, Death, and Legacy of an Animal Suburb",,Journal of Urban History
Schroeter F.,JOHN BATES CLARK AND THE NORMATIVE FOUNDATIONS OF EARLY NEOCLASSICISM,,Research in the History of Economic Thought and Methodology
McGahey R.,CITIES AND CAPITALISM: DAVID GORDON’S WORK ON URBAN ECONOMIES,,Research in the History of Economic Thought and Methodology
"Rockwell T.K., Meltzner A.J., Haaker E.C., Madugo D.","The late Holocene history of Lake Cahuilla: Two thousand years of repeated fillings within the Salton Trough, Imperial Valley, California",,Quaternary Science Reviews
"Wang Z., Chen S., Wang Y., Zhao K., Liang Y., Cheng H., Shao Q., Wang X., Zhang J., Wang Q., Zhai X., Edwards R.L.","A high-resolution stalagmite record from Luoshui Cave, Central China over the past 23.5 kyr",,Quaternary Science Reviews
"Serra E., Valla P.G., Gribenski N., Carcaillet J., Deline P.",Post-LGM glacial and geomorphic evolution of the Dora Baltea valley (western Italian Alps),,Quaternary Science Reviews
"Chen Z., Jia P., Liu Z.",Parameter analysis of friction pendulum bearings in underground stations during the earthquake [基于摩擦摆支座的地铁车站减震控制参数敏感性分析],,Tumu Gongcheng Xuebao/China Civil Engineering Journal
Mazour-Matusevich Y.,Porter assistance aux assistants: Jean Gerson (1363-1429) et sa postérité dans le domaine des soins de fin de vie,,Journal of Early Modern Christianity
Wands B.,The New York Digital Salon: A Memoir,,Leonardo
Jofre A.,Generating Facial Character: A Systematic Method Accumulating Expressive Histories,,Leonardo
Browne K.,Who (or What) Is an AI Artist?,,Leonardo
O’Sullivan M.,Constructing a big history of inequality,,History Compass
"José Ramón C.D., Kuri A.R.",Amnesties and political history: footprints and problems in the 20th century [AMNISTÍAS E HISTORIA POLÍTICA: HUELLAS Y PROBLEMAS EN EL SIGLO XX],,Historia Mexicana
Buck A.D.,Remembering Outremer in the West: The Secunda pars historiae Iherosolimitane and the Crisis of Crusading in Mid-twelfth-century France,,Speculum
"Moore A., Bednarski S.",Draining the Swamp: National and Local Regulation of Drainage in a 1396 English Sewer Commission Report,,Speculum
Drimmer S.,"Connoisseurship, Art History, and the Paleographical Impasse in Middle English Studies",,Speculum
Edwards K.J.,"‘The most remarkable man’: James Croll, Quaternary scientist",,Journal of Quaternary Science
MacCabe C.,Chapters from an Abandoned History of English Literature,,Critical Quarterly
Donert C.,Women's Rights and Global Socialism: Gendering Socialist Internationalism during the Cold War,,International Review of Social History
Strippoli G.,Women's Transnational Activism against Portugal's Colonial Wars,,International Review of Social History
Agafonova Y.,The Common Reader in Public Readings with Magic Lantern Slides in Late Imperial Russia,,Russian Literature
Roy M.S.,The Call of the World: Women's Memories of Global Socialist Feminism in India,,International Review of Social History
Leiderman D.,The Landscape of Durance: Utopianism and Eastern Europe in Video Games,,Russian Literature
"Czére O., Lawson J.A., Müldner G., Evans J., Boyle A., Britton K.","The Bodies in the ‘Bog’: A Multi-Isotope Investigation of Individual Life-Histories at an Unusual 6th/7th AD Century Group Burial from a Roman Latrine at Cramond, Scotland",,Archaeological and Anthropological Sciences
"Rose H.A., Müller-Scheeßel N., Meadows J., Hamann C.","Radiocarbon dating and Hallstatt chronology: a Bayesian chronological model for the burial sequence at Dietfurt an der Altmühl ‘Tennisplatz’, Bavaria, Germany",,Archaeological and Anthropological Sciences
Shamir R.,British interwar airspace in the Middle East: The forgotten airport of Lydda,,Journal of Historical Geography
"Peyroteo-Stjerna R., Simões L.G., Fernandes R., Lopes G., Günther T., Jakobsson M.",Multidisciplinary investigation reveals an individual of West African origin buried in a Portuguese Mesolithic shell midden four centuries ago,,Journal of Archaeological Science: Reports
Graf F.,"GREEK CURSING, AND OURS",,Greece and Rome
Squire M.,Art and Archaeology,,Greece and Rome
Easterbrook R.,Reception,,Greece and Rome
Vlassopoulos K.,Greek History,,Greece and Rome
Woolf G.,CURSE TABLETS: THE HISTORY OF A TECHNOLOGY,,Greece and Rome
"Blichert-Toft J., de Callataÿ F., Télouk P., Albarède F.",Origin and fate of the greatest accumulation of silver in ancient history,,Archaeological and Anthropological Sciences
Cecalupo C.,The Collecting History of an Early Christian Lead Vessel: From Carthage to the 1867 Paris Universal Exhibition,,American Journal of Archaeology
James J.P.,Blake's debt: Artisanship and the future of labor,,Literature Compass
"Gimbel S., Radzevick J.","Inconsistent, Vague, and … Just? An Analysis of the National Football League’s 2021 COVID-19 Policy",,Philosophies
Mitchell M.M.,John Chrysostom and Christian Love Magic: A Spellbinding Moment in the History of Interpretation of 1 Cor 7.2-4*,,New Testament Studies
Mehta J.M.,"Monument volumes and viewshed analysis at the Carson mounds site (22CO505), coahoma County, Mississippi",,Journal of Archaeological Science: Reports
"Ahituv H., Henry A.G.",An initial key of starch grains from edible plants of the Eastern Mediterranean for use in identifying archaeological starches,,Journal of Archaeological Science: Reports
Zhang L.,"Careering and academic mobility: George B. Cressey's China, 1923–1963",,Journal of Historical Geography
"Wöstehoff L., Kindermann K., Amelung W., Kappenberg A., Henselowsky F., Lehndorff E.","Anthropogenic fire fingerprints in Late Pleistocene and Holocene sediments of Sodmein Cave, Egypt",,Journal of Archaeological Science: Reports
"Moreno-Ibáñez M.Á., Saladié P., Morales J.I., Cebrià A., Fullola J.M.","Inhumation and cremation: identifying funerary practices and reuse of space through forensic taphonomy at Cova Foradada (Calafell, Spain)",,Archaeological and Anthropological Sciences
"Aaron D.G., Stanford F.C.","Medicine, structural racism, and systems",,Social Science and Medicine
Mathew J.,Embodied capital in the history of inequality,,History Compass
"Haskins V., Samita S.E.N.",Introduction: Regulation and Domestic Service in Colonial Histories,,International Review of Social History
"Ramstein M., Steuri N., Brönnimann D., Rentzel P., Cornelissen M., Schimmelpfennig D., Anselmetti F.S., Häberle S., Vandorpe P., Siebke I., Furtwängler A., Szidat S., Hafner A., Krause J., Lösch S.","The well-preserved Late Neolithic dolmen burial of Oberbipp, Switzerland. Construction, use, and post-depositional processes",,Journal of Archaeological Science: Reports
